,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,8,2,1,.800,194,79,115,10.5,-2.9,7.6,2.4,5.2
1,Washington Redskins,6,3,2,.667,148,154,-6,-0.5,-0.5,-1.1,0.1,-1.1
2,Brooklyn Dodgers,4,4,3,.500,131,161,-30,-2.7,0.2,-2.5,-1.5,-1.0
3,Philadelphia Eagles,5,6,0,.455,154,164,-10,-0.9,-0.7,-1.6,1.2,-2.7
4,Pittsburgh Pirates,2,9,0,.182,79,169,-90,-8.2,1.0,-7.2,-6.1,-1.1
5,Green Bay Packers,8,3,0,.727,223,118,105,9.5,-1.1,8.5,6.8,1.7
6,Detroit Lions,7,4,0,.636,119,108,11,1.0,-0.8,0.2,-4.1,4.4
7,Chicago Bears,6,5,0,.545,194,148,46,4.2,-0.1,4.1,3.9,0.1
8,Cleveland Rams,4,7,0,.364,131,215,-84,-7.6,2.5,-5.2,0.2,-5.3
9,Chicago Cardinals,2,9,0,.182,111,168,-57,-5.2,2.4,-2.8,-2.8,0.0
